Date,EM,BWT,FWT,DTW,Forget,Update,Time
2019-1,17.26639009,,,15.51268,,,2026.064939
2019-1,17.26639009,,,15.51268,,,2026.064939
2019-2,13.33333333,-4.569186916,5.633802817,15.675945,0.05192255,0.008292281,92.81710124
2019-2,13.33333333,-4.569186916,5.633802817,15.675945,0.05192255,0.008292281,92.81710124
2019-3,15.94896332,4.41314554,10.04784689,3.5946693,0.004033355,0.004357889,67.66219831
2019-3,15.94896332,4.41314554,10.04784689,3.5946693,0.004033355,0.004357889,67.66219831
2019-4,27.95883362,-5.741626794,15.09433962,3.413831,0.002903585,0.003788445,61.71535444
2019-4,27.95883362,-5.741626794,15.09433962,3.413831,0.002903585,0.003788445,61.71535444
2019-5,20.89041096,-4.459691252,8.904109589,5.6165133,0.00419498,0.005043408,63.66172314
2019-5,20.89041096,-4.459691252,8.904109589,5.6165133,0.00419498,0.005043408,63.66172314
2019-6,10.49654305,-8.390410959,7.008170962,6.413757,0.005581807,0.013255605,222.2631004
2019-6,10.49654305,-8.390410959,7.008170962,6.413757,0.005581807,0.013255605,222.2631004
2019-7,28.96890344,-3.456945317,19.72176759,6.7604294,0.030725338,0.027161842,179.9443536
2019-7,28.96890344,-3.456945317,19.72176759,6.7604294,0.030725338,0.027161842,179.9443536
2019-8,20.20460358,-3.968903437,16.8797954,5.1987257,0.009685254,0.007983003,122.6335809
2019-8,20.20460358,-3.968903437,16.8797954,5.1987257,0.009685254,0.007983003,122.6335809
2019-9,9.947643979,-1.79028133,6.020942408,4.2063475,0.009928129,0.007101113,71.92867017
2019-9,9.947643979,-1.79028133,6.020942408,4.2063475,0.009928129,0.007101113,71.92867017
2019-10,18.69009585,-1.963350785,11.98083067,3.414813,0.006676555,0.006164298,64.03063655
2019-10,18.69009585,-1.963350785,11.98083067,3.414813,0.006676555,0.006164298,64.03063655
2019-11,18.32061069,-4.47284345,13.16793893,3.2835991,0.005924034,0.00600659,58.24778914
2019-11,18.32061069,-4.47284345,13.16793893,3.2835991,0.005924034,0.00600659,58.24778914
2019-12,19.53818828,-1.717557252,10.47957371,7.5598464,0.003168169,0.004590102,60.53115416
2019-12,19.53818828,-1.717557252,10.47957371,7.5598464,0.003168169,0.004590102,60.53115416
2020-1,11.44090664,-7.992895204,8.486238532,7.7358017,0.013071105,0.044088367,485.3781109
2020-1,11.44090664,-7.992895204,8.486238532,7.7358017,0.013071105,0.044088367,485.3781109
2020-2,22.10648148,-1.632487858,17.82407407,7.9102674,0.023697082,0.009280228,79.04764295
2020-2,22.10648148,-1.632487858,17.82407407,7.9102674,0.023697082,0.009280228,79.04764295
2020-3,44.625,-4.74537037,9,3.901096,0.0051575,0.008486738,75.1234796
2020-3,44.625,-4.74537037,9,3.901096,0.0051575,0.008486738,75.1234796
2020-4,32.93556086,-3.875,23.62768496,3.4310834,0.006690281,0.005636048,49.04612398
2020-4,32.93556086,-3.875,23.62768496,3.4310834,0.006690281,0.005636048,49.04612398
2020-5,17.62589928,-5.966587112,11.15107914,4.457745,0.003928273,0.003489171,41.99858356
2020-5,17.62589928,-5.966587112,11.15107914,4.457745,0.003928273,0.003489171,41.99858356
2020-6,12.96579888,-3.597122302,8.014293007,4.924706,0.006368377,0.021992292,145.8474934
2020-6,12.96579888,-3.597122302,8.014293007,4.924706,0.006368377,0.021992292,145.8474934
2020-7,22.84644195,-3.879530373,14.07169609,5.445951,0.013468624,0.012066103,139.924099
2020-7,22.84644195,-3.879530373,14.07169609,5.445951,0.013468624,0.012066103,139.924099
2020-8,16.93037975,-7.972177635,7.674050633,4.6455927,0.023102634,0.02181882,104.826834
2020-8,16.93037975,-7.972177635,7.674050633,4.6455927,0.023102634,0.02181882,104.826834
2020-9,16,-4.984177215,8.285714286,4.3984556,0.008265448,0.008724284,90.02733517
2020-9,16,-4.984177215,8.285714286,4.3984556,0.008265448,0.008724284,90.02733517
2020-10,15.03355705,-2.571428571,6.44295302,3.9024684,0.004118748,0.00420341,71.60594988
2020-10,15.03355705,-2.571428571,6.44295302,3.9024684,0.004118748,0.00420341,71.60594988
2020-11,14.75409836,-1.073825503,8.81147541,3.3045268,0.005493911,0.00517119,54.12615371
2020-11,14.75409836,-1.073825503,8.81147541,3.3045268,0.005493911,0.00517119,54.12615371
2020-12,20.93023256,-0.204918033,10.07751938,6.741736,0.004145512,0.004678404,47.21813178
2020-12,20.93023256,-0.204918033,10.07751938,6.741736,0.004145512,0.004678404,47.21813178
2021-1,16.82841615,-6.45994832,11.76242236,6.8252215,0.007181041,0.027481876,343.5690901
2021-1,16.82841615,-6.45994832,11.76242236,6.8252215,0.007181041,0.027481876,343.5690901
2021-2,14.43994602,-3.901397516,9.311740891,6.8772297,0.008674461,0.004421215,68.13702846
2021-2,14.43994602,-3.901397516,9.311740891,6.8772297,0.008674461,0.004421215,68.13702846
2021-3,18.89081456,-2.699055331,12.9982669,3.3421097,0.003328728,0.003504755,58.58091331
2021-3,18.89081456,-2.699055331,12.9982669,3.3421097,0.003328728,0.003504755,58.58091331
2021-4,44.27374302,-6.412478336,37.29050279,3.0931644,0.005667805,0.005332134,67.00021434
2021-4,44.27374302,-6.412478336,37.29050279,3.0931644,0.005667805,0.005332134,67.00021434
2021-5,25.47169811,-0.279329609,19.10377358,4.365005,0.003561828,0.003788594,50.66499209
2021-5,25.47169811,-0.279329609,19.10377358,4.365005,0.003561828,0.003788594,50.66499209
2021-6,14.26202322,-2.594339623,9.673852957,4.8171906,0.005139624,0.010677126,136.3741701
2021-6,14.26202322,-2.594339623,9.673852957,4.8171906,0.005139624,0.010677126,136.3741701
2021-7,14.73936489,-4.201216142,10.12582385,5.0808377,0.007241112,0.007387998,127.3861115
2021-7,14.73936489,-4.201216142,10.12582385,5.0808377,0.007241112,0.007387998,127.3861115
2021-8,13.03418803,-2.456560815,8.012820513,4.165304,0.01041161,0.007872258,83.90982294
2021-8,13.03418803,-2.456560815,8.012820513,4.165304,0.01041161,0.007872258,83.90982294
2021-9,21.45015106,-3.525641026,15.70996979,3.7289875,0.004758511,0.0044857,64.32412839
2021-9,21.45015106,-3.525641026,15.70996979,3.7289875,0.004758511,0.0044857,64.32412839
2021-10,47.00956938,-11.02719033,24.5215311,3.427241,0.006044067,0.006171195,75.6578021
2021-10,47.00956938,-11.02719033,24.5215311,3.427241,0.006044067,0.006171195,75.6578021
2021-11,21.4,-13.39712919,13.4,3.1628864,0.004244645,0.004563646,55.21610641
2021-11,21.4,-13.39712919,13.4,3.1628864,0.004244645,0.004563646,55.21610641
2021-12,19.48356808,-3.4,7.746478873,5.8678007,0.00281581,0.002879656,51.72865152
