Month,Samples
2019-1,35433
2019-2,1065
2019-3,627
2019-4,583
2019-5,584
2019-6,3182
2019-7,2444
2019-8,1564
2019-9,764
2019-10,626
2019-11,524
2019-12,563
2020-1,7412
2020-2,864
2020-3,800
2020-4,419
2020-5,278
2020-6,1959
2020-7,1869
2020-8,1264
2020-9,1050
2020-10,745
2020-11,488
2020-12,387
2021-1,5152
2021-2,741
2021-3,577
2021-4,716
2021-5,424
2021-6,1809
2021-7,1669
2021-8,936
2021-9,662
2021-10,836
2021-11,500
2021-12,426
2022-1,3714
2022-2,537
2022-3,489
2022-4,688
2022-5,773
2022-6,1818
2022-7,1106
2022-8,742
2022-9,666
2022-10,477
2022-11,521
2022-12,357
2023-1,1615
2023-2,373
2023-3,335
2023-4,220
2023-5,149
2023-6,46
